Empresa,Estado,Descripcion
RORIGUEZ JIMENEZ JAVIER,Zapopan - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
"Unidad Especializada Integral K9 S de RL de CV, Unidad K9 (Unidad Integral K9)",Tijuana - Mexico,"Servicio a empresa con perros adiestrados en diferentes modalidades, garantizando la eficiencia y confianza de nuestros servicios, disponemos del personal debidamente capacitado y adaptables a las necesidades de su empresa, renta y venta con o sin adiestrar, numero uno en seguridad con canes.... Ver su perfil
Proveedor de:
Veterinarios especializados en el servicio de mascotas domesticas
Residencias para perros y gatos
Productos y equipos para el cuidado e higiene de mascotas..."
PANIFICADORA JUGARSU SA DE CV,Chiautempan - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
Proquimsa (Servicios de Limpieza),San luis potosi - Mexico,"Hoy en dia somos la empresa lider en el sector de limpieza industrial y comercial en el estado de San Luis Potosi. Somos una empresa Potosina, que empezo sus operaciones en el ano de 1990 como proveedora de productos quimicos y prestadora de servicios de limpieza industrial. Nuestra empresa esta cer... Ver su perfil
Proveedor de:
Servicios paisajistas
Mantenimiento de areas verdes y jardines
Maquinaria para limpiar el suelo no especificada en otra parte..."
VETERINARIA MALVERDE,Tijuana - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
"Edja Ingenieria Quimica y Ambiental, S.A. de C.V.",San luis potosi - Mexico,"Fabricantes de productos quimicos completamente personalizables, de la mejor calidad y con precios competitivos. Teniendo como principal caracteristica que manejamos productos superconcentrados para que el distribuidor o el vendedor pueda manejar diluciones adecuadas o adapatadas al cliente final to... Ver su perfil
Proveedor de:
Jabon, productos de limpieza y detergentes, ecologicos, organicos
Productos de limpieza y detergentes"
DISTRIBUIDORA DULCERA DEL CENTRO SA DE CV,Guadalajara - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
SMC NUTRITION SA DE CV,Tepatitlan de morelos - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
VIMIFOS SA DE CV,Guadalajara - Mexico,"Elaboracion de alimentos para animales
Proveedor de:
Alimentacion
Piensos y alimentos para animales"
COMPANIA DESTILADORA DE ACATLAN SA DE CV,Acatlan de juarez - Mexico,"Elaboracion de bebidas destiladas de agave
Proveedor de:
Tequila
Aguardientes y bebidas espiritosas
Bebidas"
GRUPO ACEITES DEL MAYO SA DE CV,Navojoa - Mexico,"Elaboracion de aceites y grasas vegetales comestibles
Proveedor de:
Aceites comestibles
Alimentacion
Grasas comestibles"
DERIVADOS ALIMENTICIOS DEL BAJIO SA DE CV,Leon de los aldama (leon) - Mexico,"Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
Proveedor de:
Confiteria
Alimentacion"
"Grupo Florite SAPI de CV, Florite",Guadalajara - Mexico,"Comercializacion de tes y accesorios.
Proveedor de:
Te
Te de India
Te japones..."
EXPENDIO PAN,Puebla (heroica puebla) - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
"Nutripulp Pulpa de Fruta Natural, Nutripulp",Iztapalapa - Mexico,"Desarrollamos, producimos, comercializamos y distribuimos pulpas de fruta 100% natural desinfectadas biologicamente, licuadas y coladas. Nuestros productos no contienen ningun tipo de conservadores, ni azucares anadidas. Manejamos la mas alta calidad con base en la mejora de procesos amigables al am... Ver su perfil
Proveedor de:
Procesado de frutas
Frutas y vegetales ultracongelados
Pure, pulpa o trozos de fruta congelados rapidamente"
PRODUCTOS EL VENADO,Culiacan - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
HAKUNA MATATA,Veracruz - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
BODEGA CORONA DEL VALLE SA DE CV,Ensenada - Mexico,"Elaboracion de bebidas alcoholicas a base de uva
Proveedor de:
Bebidas
Vino"
HACIENDA LA RIOJANA S DE RL DE CV,Ensenada - Mexico,"Elaboracion de bebidas alcoholicas a base de uva
Proveedor de:
Bebidas
Vino"
RUIZ HERNANDEZ JOSE LUIS,Puruandiro - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
IMPULSORA SANA SA DE CV,Monterrey - Mexico,"Comercio al por mayor de leche y otros productos lacteos
Proveedor de:
Alimentacion
Leches
Alimentos, bebidas y tabaco (al por mayor)..."
FLORERIA LEYDI,Villahermosa - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
COMERCIALIZADORA DE SEMILLAS Y MATERIALES SANTA CECILIA SA DE CV,Cordoba - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
SIDRA SOAMY,Puebla (heroica puebla) - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
BOCADOS MG SA DE CV,Monterrey - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CLUB DE ABASTOS SA DE CV,Toluca de lerdo - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
"Elide Perez Osejo, ELIDE",Huimilpan - Mexico,"Importacion de cosmeticos.
Proveedor de:
Productos para el cuidado personal y cosmeticos, organicos, ecologicos
Cosmeticos y maquillaje, organicos
Productos quimicos basicos para cosmeticos, perfumes, detergentes y jabones..."
ABASTECEDORA DE ACEROS DE NUEVO LAREDO SA DE CV,Gomez palacio - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
HACIENDA Y CAVA MARTLOT SA DE CV,Ensenada - Mexico,"Elaboracion de bebidas alcoholicas a base de uva
Proveedor de:
Bebidas
Vino"
"DEPOSITOS SABINAS, S.A.",Ciudad sabinas - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
EXCLUSIVAS EN TUXTLA SA DE CV,San cristobal de las casas - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
FUENTES ADAME JOSE LUIS,Guadalajara - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA MENESES,Puebla (heroica puebla) - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
FRUTOS DE LA TIERRA Y DEL MAR SA DE CV,Cordoba - Mexico,"Deshidratacion de frutas y verduras
Proveedor de:
Alimentacion
Fruta deshidratada
Hortalizas y verduras deshidratadas"
CLINICA VETERINARIA SAN BEJ,Tepic - Mexico,"Servicios veterinarios para la ganaderia prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia"
CLINICA Y ESTETICA HUESOS,Poza rica (poza rica de hidalgo) - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CENTRO ESPECIALIZADO EN PEQUE?S ESPECIES S DE RL DE CV,Zapopan - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA ZUBILLAGA,Colima - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA SNOOPY,Poza rica (poza rica de hidalgo) - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA Y ESTETICA CANINA HAPY PE,Merida - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA SNOPPY,Veracruz - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
SOLUCIONES ARQUITECTONICAS Y CRISTALES SA DE CV,Tlalnepantla de baz - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
"Natural de Alimentos, S.A. DE C.V., NATALIM (NATURAL DE ALIMENTOS)",San juan del rio - Mexico,"Somos una empresa mexicana con 47 anos de operacion, fabricante y distrbuidor de materias primas para la industria de pasteleria, panificacion y reposteria. Atendemos Food Service y sector HORECA. Elaboramos Cremas vegetales para batir tipo chantilly, Crema pastelera (Bavaria), Margarinas, Mantequil... Ver su perfil
Proveedor de:
Crema
Crema pasteurizada
Crema batida..."
ROMYC INDUSTRIAL SA DE CV,Zapopan - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
BMI PRODUCTOS AGRICOLAS SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo agricola
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Tractores para la agricultura
Maquinas para labrar la tierra, rastrilladores y gradas..."
El Corte Norteno,Metepec - Mexico,"Venta y distribucion de Cortes Selectos de Carne del Norte
Proveedor de:
Productos alimenticios, refrigerados, frescos y ultra-frescos
Fiambres, embutidos, cortes de carne frescos (refrigerados)"
DERIVADOS DE LECHE LA ESMERALDA SA DE CV,San miguel de allende - Mexico,"Elaboracion de leche liquida
Proveedor de:
Alimentacion
Leches"
SUPERMERCADO DEL NORTE S DE RL DE CV,Saltillo - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
PRODUCTOS PURIFICADOS CRISTAL,Casimiro castillo - Mexico,"Elaboracion de hielo
Proveedor de:
Hielo
Bebidas"
PANNE RICCO PANADERIA,Queretaro - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
NUBBA COMERCIAL SA DE CV,Leon de los aldama (leon) - Mexico,"Elaboracion de alimentos para animales
Proveedor de:
Alimentacion
Piensos y alimentos para animales"
PANIFICADORS NITRITIVOS DE MICHOACAN SA DE CV,Morelia - Mexico,"Panificacion tradicional
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
TOSTIRAMOS,Saltillo - Mexico,"Comercio al por mayor de botanas y frituras
Proveedor de:
Alimentacion
Snacks salados
Alimentos, bebidas y tabaco (al por mayor)..."
CONTRUCTORA MM,Cuautla (cuautla de morelos) - Mexico,"Fabricacion de maquinaria y equipo agricola
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Tractores para la agricultura
Maquinas para labrar la tierra, rastrilladores y gradas..."
"Comercializadora y Purificadora de Agua de Occidente S.A. de C.V., AQUA FINNA",Tepic - Mexico,"Alta filtracion, envasado y comercializacion de agua purificada en sus diversas presentaciones.
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Agua tonica"
CIBER GAYTAN,Monterrey - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
CARNICERIA LA DIVINA,Metepec - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
Asesorias Industriales y Mantenimiento S.A. de C.V.,Monterrey - Mexico,"ASIMA es una Empresa creada para ofrecer servicios de limpieza, jardineria y mantenimiento en general a edificios.
Proveedor de:
Jabon, productos de limpieza y detergentes, ecologicos, organicos
Servicios de limpieza industrial
Desinfeccion de edificios..."
Sinergia Refrigeracion S.A. de C.V.,San nicolas de los garza - Mexico,"Somos una empresa 100% Mexicana, ubicada en Apodaca, Nuevo Leon, que inicia operaciones en el 2017, una organizacion de reciente creacion, pero con amplia experiencia en el sector Carnico, Lacteo, Agricola, Pesquero e Industrial en sus diferentes aplicaciones.... Ver su perfil
Proveedor de:
Servicios de instalacion y mantenimiento de equipos de calefaccion, refrigeracion y ventilacion
Maquinaria y equipos varios para la industria de las bebidas
Equipos de refrigeracion para la industria de las bebidas..."
PROMOCARNES SA DE CV,Guadalajara - Mexico,"Corte y empacado de carne de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Productos de matadero, no procesados"
MINI PANADERIA DEL VALLE,San cristobal de las casas - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
VETERINARIA Y ESTETICA CANINA EL ESTABLO,Merida - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA DE GANTE,Orizaba - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
PANADERIA Y PASTELES DANNYS,Zacatecas - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
CLINICA VETERINARIA DEL CENTRO,Orizaba - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINIVET CANES,Morelia - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
"Hidrotecnica Nacional de Monterrey S.A. de C.V., Hidrotecnica",Monterrey - Mexico,"Hidrotecnica Nacional de Monterrey, S.A. de C.V. es una empresa con mas de 20 anos de experiencia especializada en el calculo y distribucion de equipos de bombeo, motores electrico, gasolina, diesel, tanques hidroneumaticos, plantas de luz, sistemas de riego, sistemas contra incendio, compresores, a... Ver su perfil
Proveedor de:
Bombas de extincion de incendios
Bombas de incendios remolcables
Bombas, segun uso..."
PANADERIA Y PASTELERIA MEXICANA SA DE CV,Orizaba - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
